,Jeu,Commentaire,Commentaire_English
64,Grand Theft Auto VI,"I remember when GTA5 came out when I was 14. Now I'm 87, time flies",en
65,Grand Theft Auto VI,FINALLY WE BEEN WAITING FOR 11 YEARS ALMOST,de
66,Grand Theft Auto VI,I've watched this at least 150 times.,en
67,Grand Theft Auto VI,The amount of time spent I watching this trailer over and over again will add to be longer than the actual game,en
68,Grand Theft Auto VI,Coming back every week. OMG that TOM PETTY song took this trailer to the next level ,en
69,Grand Theft Auto VI,FINALLY THE VICE ,vi
70,Grand Theft Auto VI,Hoping yall have had an amazing 2024 so far. We can get through this year!,en
71,Grand Theft Auto VI,Rockstar  after every release: This little maneuver's gonna cost us 51 Years,en
72,Grand Theft Auto VI,"Finally, after a long wait of 10 years, the great prayer has arrived",en
73,Grand Theft Auto VI,Proud to be apart of those men who've been waiting for almost a decade for this game,en
74,Grand Theft Auto VI,75 Million in 18 hours is CRAZY. Shows how much anticipated and iconic this series is.,en
75,Grand Theft Auto VI,How else keeps coming back here to rewatch the trailer to keep on being amazed everytime seeing it ,en
76,Grand Theft Auto VI,I've watched this trailer once a day since it came out! I honestly can't wait,en
77,Grand Theft Auto VI,"It was an honor to have waited more than 10 years for this gem. I can't wait, I want to move forward. I know it doesn't make sense because I know the 2D, 3D and HD universes but can you imagine that Tommy Ciprianny (I don't know how to spell it) appears, that would make money. Greetings from Argentina bye bro.",en
78,Grand Theft Auto VI,"This song fits the scenes so perfectly, it's insane. I feel like I'm 14 years old again, like when GTA 5 was released",en
79,Grand Theft Auto VI,"94 million views in only 24 hours is insane.

Goes to show how anticipated and iconic this series truly is.",en
80,Grand Theft Auto VI,This trailer is nostalgia ,en
81,Grand Theft Auto VI,"I keep on going back to this trailer, its so good!",en
82,Grand Theft Auto VI,Almost every day watching this beautiful trailer :3,en
83,Grand Theft Auto VI,I watched it more than 100 times but still never get enough of it ,en
84,Grand Theft Auto VI,FINALLY ROCK STAR GAMES YOU RELEASED THE TRAILER THX SO MUCH.,en
85,Grand Theft Auto VI,"Awakenbeerus predictions were right, I should have put my money on it.",en
86,Grand Theft Auto VI,"Guys, please stop me from rewatching this every single day. ",en
87,Grand Theft Auto VI,I can’t believe I keep coming here .. I want to watch this trailer a few times a month before the next one comes out ,en
88,Grand Theft Auto VI,"Who else keeps coming back
 ",en
89,Grand Theft Auto VI,"I’ve watched this trailer almost every day, i cant get over it! Cant wait for this game to come out.",en
90,Grand Theft Auto VI,"Everyday watching twice, in the morning and the evening
What a good time to be alive!!",en
91,Grand Theft Auto VI,Gonna miss the old Trio  ,en
92,Grand Theft Auto VI,"The nostalgia reeling off of gta vice city is too much to handle, being a late 90s kid it puts tears in my eyes",en
93,Grand Theft Auto VI,"Man GTA V was my childhood! Would go on my xbox and play some GTA V back in the old days. I was 5 when GTA V came out, im gonna be 17 at the time this comes out. Time flies man..",en
94,Grand Theft Auto VI,"One year to go , gotta live long enough to see this one",en
95,Grand Theft Auto VI,"Ain´t no way this is only 2 months old, it feels like this trailer came out years ago",en
96,Grand Theft Auto VI,Can’t wait for this one…. Salute Rockstar and thank you,en
97,Grand Theft Auto VI,"I hope they will bring back gta san Andreas features like
1.weight transformation 
2.Eating food at restaurant 
3.Multiple city & airport's ",en
98,Grand Theft Auto VI,I can rewatch this masterpiece forever!,en
99,Grand Theft Auto VI,"Man we all gon' be here after 10 years, right?",en
100,Grand Theft Auto VI,Watching this trailer at least once a day has become my new routine ,en
101,Grand Theft Auto VI,1 month later still gives me the chills,en
102,Grand Theft Auto VI,Bunu beklediğme inanamıyorum ve bunu her izlediğimde daha çok yaklaştığmı hissediyorum,tr
103,Grand Theft Auto VI,"If we assume the game comes out September 25, 2025 then I just need to watch this trailer 572,160 times until this masterpiece is finally released!",en
104,Grand Theft Auto VI,Anyone else feeling whole body shivers while watching this or is it just me?,en
105,Grand Theft Auto VI,Rip tom petty a new generation has listened to your music has been resurrected,en
106,Grand Theft Auto VI,"this helped me make a school project, thanks rockstar!",en
107,Grand Theft Auto VI,"A historical moment, we waited 10 years for this 1 trailer... THANK YOU ROCKSTAR!",en
108,Grand Theft Auto VI,"Auch nach zwei Monaten immer noch eines der besten Spieletrailer die ich je gesehen habe. Vice City wir haben dich vermisst. 
Patty for ever ️",de
109,Grand Theft Auto VI,"A long road indeed! Lets hope I survive to then, it will be insane!",en
110,Grand Theft Auto VI,It has been an absolute honour to see this and I am sure that new kids won’t understand the hype around this trailer.,en
111,Grand Theft Auto VI,"I rather wait that long for a new game, than having new games every year with only minor changes",en
112,Grand Theft Auto VI,50 Million in 10 hours is CRAZY. Shows how much anticipated and iconic this series is.,en
113,Grand Theft Auto VI,"After 2 months, i'm still not tired to watch this",en
114,Grand Theft Auto VI,"everytime i see this i get goosepumps thinking playing this with rdr2 combined with the gta system 

like a sexual fantasy that is about to finally happen",en
115,Grand Theft Auto VI,I love near Miami. A lot of the visuals are REAL and actually happened.,en
116,Grand Theft Auto VI,This game right here will bring me back into gaming,en
117,Grand Theft Auto VI,I often come back to show my appreciation now drop the second trailer,en
118,Grand Theft Auto VI,"GTAV trailer gets 101 million views in 12 years, while GTAVI gets 106 million in just 24 hours it shows that this is the most anticipated video game in history.",en
119,Grand Theft Auto VI,This is a game to die for… may those who didn’t live to be with us for this masterpiece watch us have fun from above.,en
120,Grand Theft Auto VI,We waited!!! 10 long years of waiting!!! It remains only to wait for the release,en
121,Grand Theft Auto VI,"Waiting for this for years, i am definitely going to get it",en
122,Grand Theft Auto VI,It’s only been two months and the wait is already killing me ,en
123,Grand Theft Auto VI,"Someone : ""It's just a sequel""


The Sequel :",en
124,Grand Theft Auto VI,The fact this video is almost one day old and almost has 90million views really shows how loved this Franchise is!,en
125,Grand Theft Auto VI,This is like the one hundredth time I’ve watched this video ,en
126,Grand Theft Auto VI,Everyday i rewatch this art and i say who said this day will arrive ,en
127,Grand Theft Auto VI,"Rockstar: After all this time?
Snape: Always!",en
128,Grand Theft Auto VI,I’ve been waiting for this for ages plus it’s been 12 and a half years,en
129,Grand Theft Auto VI,This is such a game that future generations will also say that we have also played this game.,en
130,Grand Theft Auto VI,"Rockstar: how hype are you?
Everyone:yes",en
131,Grand Theft Auto VI,2 months past... And my hunger is on the rise for sone news and trailer 2!! Incredible work,en
132,Grand Theft Auto VI,"Does that mean we are so lucky that we can play this masterpiece soon?
Damn, I can't believe it ",en
133,Grand Theft Auto VI,this will break all sales records in gaming history,en
134,Grand Theft Auto VI,as someone who's never laid a finger on this series... this looks promising ,en
135,Grand Theft Auto VI,"Love it or hate it, we all admit that it's going to be huge when realese will come",en
136,Grand Theft Auto VI,"I love the synth feeling of this game 
Really missed those sunsets of vice city",en
137,Grand Theft Auto VI,We Making Chaos On Vice City with this one️️,en
138,Grand Theft Auto VI,1:22 the Lyrics were spot on about the release date,en
139,Grand Theft Auto VI,"TWO MOTHS, I CAN'T WAIT MORE",en
140,Grand Theft Auto VI,Crazy how hundreds of tousends people are watching this every day,en
141,Grand Theft Auto VI,"104 million views in  1 day is crazy,it shows how iconic this series really is",en
142,Grand Theft Auto VI,To the fans in the year 2033 who are waiting for GTA 7 to come out this moment was magical.. ,en
143,Grand Theft Auto VI,Why is this music so fitting such a masterpiece to this trailer,en
144,Grand Theft Auto VI,Calling out for an entire week from work for this ,en
145,Grand Theft Auto VI,Why I keep coming back here like every week,af
146,Grand Theft Auto VI,"For a person that fell in love of Miami, Florida in general I’ve never seen something that accurate to how the sunshine state really is… Glad to be alive to see Latinos being represented as a main character on a phenomenon such as GTA…",en
